language,iso2,iso3,flores200,bcp47,microsoft_translator,google_translator,nllb,seamless_m4t,madlad_400,translategemma,gpt,deepseek
Ladino,,lad,,lad,0,0,0,0,0,0,1,1
Venda,ve,ven,,ve,0,0,0,0,1,0,1,1
Western Mari,,mrj,,mrj,0,0,0,0,0,0,1,1
Mesopotamian Arabic,,acm,acm_Arab,acm,0,0,1,0,0,0,1,1
Vlaams,,vls,,vls,0,0,0,0,0,0,1,1
Lozi,,loz,,loz,0,0,0,0,0,0,1,1
Yucateco,,yua,,yua,0,0,0,0,0,0,1,1
Kaqchikel,,cak,,cak,0,0,0,0,0,0,1,1
Kumyk,,kum,,kum,0,0,0,0,0,0,1,1
Paite Chin,,pck,,pck,0,0,0,0,0,0,1,1
Adyghe,,ady,,ady,0,0,0,0,0,0,1,1
Karachay-Balkar,,krc,,krc,0,0,0,0,0,0,1,1
Bislama,,bis,,bis,0,0,0,0,0,0,1,1
Tok Pisin,,tpi,tpi_Latn,tpi,0,0,1,0,1,0,1,1
Picard,,pcd,,pcd,0,0,0,0,0,0,1,1
Southern Altai,,alt,,alt,0,0,0,0,0,0,1,1
Tzotzil,,tzo,,tzo,0,0,0,0,0,0,1,1
Arpitan,,frp,,frp,0,0,0,0,0,0,1,1
Luba-Lulua,,lua,lua_Latn,lua,0,0,1,0,0,0,1,1
Mossi,,mos,mos_Latn,mos,0,0,1,0,0,0,1,1
Kölsch,,ksh,,ksh,0,0,0,0,0,0,1,1
Kuanyama,,kua,,kua,0,0,0,0,0,0,1,1
Pohnpeian,,pon,,pon,0,0,0,0,0,0,1,1
Chimborazo Highland Quichua,,qug,,qug,0,0,0,0,0,0,1,1
K'iche',,quc,,quc,0,0,0,0,0,0,1,1
Koongo,,kng,,kng,0,0,0,0,0,0,1,1
Ligurian,,lij,lij_Latn,lij,0,0,1,0,1,0,1,1
Gilbertese,,gil,,gil,0,0,0,0,0,0,1,1
Kabuverdianu,,kea,kea_Latn,kea,0,0,1,0,0,0,1,1
Mam,,mam,,mam,0,0,0,0,0,0,1,1
Achinese,,ace,ace_Latn,ace,0,0,1,0,1,0,1,1
Tiv,,tiv,,tiv,0,0,0,0,1,0,1,1
Tornedalen Finnish,,fit,,fit,0,0,0,0,0,0,1,1
Venetian,,vec,vec_Latn,vec,0,0,1,0,0,0,1,1
Tuvalu,,tvl,,tvl,0,0,0,0,0,0,1,1
Luba-Katanga,,lub,,lub,0,0,0,0,0,0,1,1
Banjar,,bjn,bjn_Arab,bjn,0,0,1,0,1,0,1,1
Lak,,lbe,,lbe,0,0,0,0,0,0,1,1
Karelian,,krl,,krl,0,0,0,0,0,0,1,1
Lower Sorbian,,dsb,,dsb,0,0,0,0,0,0,1,1
Isoko,,iso,,iso,0,0,0,0,0,0,1,1
Tonga (Nyasa),,tog,,tog,0,0,0,0,0,0,1,1
Livvi,,olo,,olo,0,0,0,0,0,0,1,1
Cornish,,cor,,cor,0,0,0,0,0,0,1,1
Nzima,,nzi,,nzi,0,0,0,0,0,0,1,1
Réunion Creole French,,rcf,,rcf,0,0,0,0,0,0,1,1
Eastern Canadian Inuktitut,,ike,,ike,0,0,0,0,0,0,1,1
Luo (Kenya and Tanzania),,luo,luo_Latn,luo,0,0,1,1,0,0,1,1
Tzeltal,,tzh,,tzh,0,0,0,0,0,0,1,1
Veps,,vep,,vep,0,0,0,0,0,0,1,1
Abkhazian,,abk,,abk,0,0,0,0,0,0,1,1
Tetum,,tet,,tet,0,0,0,0,1,0,1,1
Rarotongan,,rar,,rar,0,0,0,0,0,0,1,1
Central Aymara,,ayr,ayr_Latn,ayr,0,0,1,0,0,0,1,1
Wolaytta,,wal,,wal,0,0,0,0,0,0,1,1
South Ndebele,,nbl,,nbl,0,0,0,0,0,0,1,1
Pangasinan,,pag,pag_Latn,pag,0,0,1,0,1,0,1,1
Batak Simalungun,,bts,,bts,0,0,0,0,1,0,1,1
Batak Karo,,btx,,btx,0,0,0,0,0,0,1,1
Baoulé,,bci,,bci,0,0,0,0,0,0,1,1
Hmar,,hmr,,hmr,0,0,0,0,0,0,1,1
Chuukese,,chk,,chk,0,0,0,0,0,0,1,1
Poqomchi',,poh,,poh,0,0,0,0,0,0,1,1
Extremaduran,,ext,,ext,0,0,0,0,0,0,1,1
Eastern Bru,,bru,,bru,0,0,0,0,0,0,1,1
Northern Frisian,,frr,,frr,0,0,0,0,0,0,1,1
Hiri Motu,,hmo,,hmo,0,0,0,0,0,0,1,1
Baatonum,,bba,,bba,0,0,0,0,0,0,1,1
Umbu-Ungu,,ubu,,ubu,0,0,0,0,0,0,1,1
Bemba (Zambia),,bem,bem_Latn,bem,0,0,1,0,0,0,1,1
Dadibi,,mps,,mps,0,0,0,0,0,0,1,1
Swati,ss,ssw,ssw_Latn,ss,0,0,1,0,1,0,1,1
Dakota,,dak,,dak,0,0,0,0,0,0,1,1
Inari Sami,,smn,,smn,0,0,0,0,0,0,1,1
Fon,,fon,fon_Latn,fon,0,0,1,0,1,0,1,1
Acoli,,ach,,ach,0,0,0,0,0,0,1,1
Manx,gv,glv,,gv,0,0,0,0,1,0,1,1
Musi,,mui,,mui,0,0,0,0,0,0,1,1
Dyula,,dyu,dyu_Latn,dyu,0,0,1,0,0,0,1,1
Eastern Huasteca Nahuatl,,nhe,,nhe,0,0,0,0,0,0,1,1
Adangme,,ada,,ada,0,0,0,0,0,0,1,1
Guadeloupean Creole French,,gcf,,gcf,0,0,0,0,0,0,1,1
Sakizaya,,szy,,szy,0,0,0,0,0,0,1,1
Pampanga,,pam,,pam,0,0,0,0,1,0,1,1
Mapudungun,,arn,,arn,0,0,0,0,0,0,1,1
Moksha,,mdf,,mdf,0,0,0,0,0,0,1,1
Chuj,,cac,,cac,0,0,0,0,0,0,1,1
Saramaccan,,srm,,srm,0,0,0,0,0,0,1,1
Achang,,acn,,acn,0,0,0,0,0,0,1,1
Hakka Chinese,,hak,,hak,0,0,0,0,0,0,1,1
Ayacucho Quechua,,quy,quy_Latn,quy,0,0,1,0,0,0,1,1
Motu,,meu,,meu,0,0,0,0,0,0,1,1
Mon,,mnw,,mnw,0,0,0,0,0,0,1,1
Kosraean,,kos,,kos,0,0,0,0,0,0,1,1
Kimbundu,,kmb,kmb_Latn,kmb,0,0,1,0,0,0,1,1
Ngäbere,,gym,,gym,0,0,0,0,0,0,1,1
Mingrelian,,xmf,,xmf,0,0,0,0,0,0,1,1
Isthmus Zapotec,,zai,,zai,0,0,0,0,0,0,1,1
Ambulas,,abt,,abt,0,0,0,0,0,0,1,1
Keley-I Kallahan,,ify,,ify,0,0,0,0,0,0,1,1
Swabian,,swg,,swg,0,0,0,0,0,0,1,1
Southern Sami,,sma,,sma,0,0,0,0,0,0,1,1
Iu Mien,,ium,,ium,0,0,0,0,0,0,1,1
Tonga (Zambia),,toi,,toi,0,0,0,0,0,0,1,1
Kriol,,rop,,rop,0,0,0,0,0,0,1,1
Gun,,guw,,guw,0,0,0,0,0,0,1,1
Umbundu,,umb,umb_Latn,umb,0,0,1,0,0,0,1,1
Kinaray-A,,krj,,krj,0,0,0,0,0,0,1,1
Kekchí,,kek,,kek,0,0,0,0,0,0,1,1
Carpathian Romani,,rmc,,rmc,0,0,0,0,0,0,1,1
Yapese,,yap,,yap,0,0,0,0,0,0,1,1
Zou,,zom,,zom,0,0,0,0,0,0,1,1
Marshallese,,mah,,mah,0,0,0,0,0,0,1,1
Awadhi,,awa,awa_Deva,awa,0,0,1,0,0,0,1,1
Kuanua,,ksd,,ksd,0,0,0,0,0,0,1,1
Popti',,jac,,jac,0,0,0,0,0,0,1,1
Talysh,,tly,,tly,0,0,0,0,0,0,1,1
Mutu,,tuc,,tuc,0,0,0,0,0,0,1,1
Kapingamarangi,,kpg,,kpg,0,0,0,0,0,0,1,1
Plautdietsch,,pdt,,pdt,0,0,0,0,0,0,1,1
Dehu,,dhv,,dhv,0,0,0,0,0,0,1,1
Pular,,fuf,,fuf,0,0,0,0,0,0,1,1
El Nayar Cora,,crn,,crn,0,0,0,0,0,0,1,1
Central Atlas Tamazight,,tzm,tzm_Tfng,tzm,0,0,1,0,0,0,1,1
Santali,,sat,sat_Beng,sat,0,0,1,0,1,0,1,1
Susu,,sus,,sus,0,0,0,0,0,0,1,1
Chavacano,,cbk,,cbk,0,0,0,0,1,0,1,1
Samogitian,,sgs,,sgs,0,0,0,0,0,0,1,1
Central Mnong,,cmo,,cmo,0,0,0,0,0,0,1,1
Garifuna,,cab,,cab,0,0,0,0,0,0,1,1
Cusco Quechua,,quz,,quz,0,0,0,0,0,0,1,1
Achi,,acr,,acr,0,0,0,0,0,0,1,1
Chamorro,,cha,,cha,0,0,0,0,0,0,1,1
Palauan,,pau,,pau,0,0,0,0,0,0,1,1
Rade,,rad,,rad,0,0,0,0,0,0,1,1
Bambara,,bam,bam_Latn,bam,0,0,1,0,0,0,1,1
Mufian,,aoj,,aoj,0,0,0,0,0,0,1,1
San Blas Kuna,,cuk,,cuk,0,0,0,0,0,0,1,1
Jarai,,jra,,jra,0,0,0,0,0,0,1,1
Ditammari,,tbz,,tbz,0,0,0,0,0,0,1,1
Bukiyip,,ape,,ape,0,0,0,0,0,0,1,1
Hmong Njua,,hnj,,hnj,0,0,0,0,0,0,1,1
Ankave,,aak,,aak,0,0,0,0,0,0,1,1
Nyungwe,,nyu,,nyu,0,0,0,0,0,0,1,1
Huli,,hui,,hui,0,0,0,0,0,0,1,1
Rawang,,raw,,raw,0,0,0,0,0,0,1,1
Tinputz,,tpz,,tpz,0,0,0,0,0,0,1,1
Saterfriesisch,,stq,,stq,0,0,0,0,0,0,1,1
Central Huasteca Nahuatl,,nch,,nch,0,0,0,0,0,0,1,1
Kalmyk,,xal,,xal,0,0,0,0,0,0,1,1
Belize Kriol English,,bzj,,bzj,0,0,0,0,0,0,1,1
Niuean,,niu,,niu,0,0,0,0,0,0,1,1
Skolt Sami,,sms,,sms,0,0,0,0,0,0,1,1
Bodo (India),,brx,,brx,0,0,0,0,0,0,1,1
Kadazan Dusun,,dtp,,dtp,0,0,0,0,0,0,1,1
San Salvador Kongo,,kwy,,kwy,0,0,0,0,0,0,1,1
Macedo-Romanian,,rup,,rup,0,0,0,0,0,0,1,1
Roviana,,rug,,rug,0,0,0,0,0,0,1,1
Guerrero Amuzgo,,amu,,amu,0,0,0,0,0,0,1,1
Kasem,,xsm,,xsm,0,0,0,0,0,0,1,1
Kwangali,,kwn,,kwn,0,0,0,0,0,0,1,1
S'gaw Karen,,ksw,,ksw,0,0,0,0,0,0,1,1
Herero,,her,,her,0,0,0,0,0,0,1,1
Tz'utujil,,tzj,,tzj,0,0,0,0,0,0,1,1
Papantla Totonac,,top,,top,0,0,0,0,0,0,1,1
Farefare,,gur,,gur,0,0,0,0,0,0,1,1
Telefol,,tlf,,tlf,0,0,0,0,0,0,1,1
Melpa,,med,,med,0,0,0,0,0,0,1,1
Waray (Philippines),,war,war_Latn,war,0,0,1,0,1,0,1,1
Boko (Benin),,bqc,,bqc,0,0,0,0,0,0,1,1
Sena,,seh,,seh,0,0,0,0,0,0,1,1
Matigsalug Manobo,,mbt,,mbt,0,0,0,0,0,0,1,1
Nogai,,nog,,nog,0,0,0,0,0,0,1,1
Bulu (Cameroon),,bum,,bum,0,0,0,0,0,0,1,1
Patpatar,,gfk,,gfk,0,0,0,0,0,0,1,1
Abau,,aau,,aau,0,0,0,0,0,0,1,1
Mambwe-Lungu,,mgr,,mgr,0,0,0,0,0,0,1,1
North Tairora,,tbg,,tbg,0,0,0,0,0,0,1,1
Yessan-Mayo,,yss,,yss,0,0,0,0,0,0,1,1
Huastec,,hus,,hus,0,0,0,0,0,0,1,1
Kikuyu,,kik,kik_Latn,kik,0,0,1,0,0,0,1,1
Tabo,,knv,,knv,0,0,0,0,0,0,1,1
Bola,,bnp,,bnp,0,0,0,0,0,0,1,1
Bini,,bin,,bin,0,0,0,0,0,0,1,1
Bimin,,bhl,,bhl,0,0,0,0,0,0,1,1
Rawa,,rwo,,rwo,0,0,0,0,0,0,1,1
Western Huasteca Nahuatl,,nhw,,nhw,0,0,0,0,0,0,1,1
Jamaican Creole English,,jam,,jam,0,0,0,0,1,0,1,1
Dagbani,,dag,,dag,0,0,0,0,0,0,1,1
Aruamu,,msy,,msy,0,0,0,0,0,0,1,1
Songe,,sop,,sop,0,0,0,0,0,0,1,1
Kamba (Kenya),,kam,kam_Latn,kam,0,0,1,0,0,0,1,1
Eastern Maroon Creole,,djk,,djk,0,0,0,0,0,0,1,1
Kamula,,xla,,xla,0,0,0,0,0,0,1,1
Alamblak,,amp,,amp,0,0,0,0,0,0,1,1
Urhobo,,urh,,urh,0,0,0,0,0,0,1,1
Hawai'i Creole English,,hwc,,hwc,0,0,0,0,0,0,1,1
Kalam,,kmh,,kmh,0,0,0,0,0,0,1,1
Baruya,,byr,,byr,0,0,0,0,0,0,1,1
Aguacateco,,agu,,agu,0,0,0,0,0,0,1,1
Misima-Panaeati,,mpx,,mpx,0,0,0,0,0,0,1,1
Ladin,,lld,,lld,0,0,0,0,0,0,1,1
Gikyode,,acd,,acd,0,0,0,0,0,0,1,1
Ixil,,ixl,,ixl,0,0,0,0,0,0,1,1
Pennsylvania German,,pdc,,pdc,0,0,0,0,0,0,1,1
Avokaya,,avu,,avu,0,0,0,0,0,0,1,1
Caribbean Javanese,,jvn,,jvn,0,0,0,0,0,0,1,1
Nyankole,,nyn,,nyn,0,0,0,0,0,0,1,1
Amarasi,,aaz,,aaz,0,0,0,0,0,0,1,1
Dobu,,dob,,dob,0,0,0,0,0,0,1,1
Pele-Ata,,ata,,ata,0,0,0,0,0,0,1,1
Mezquital Otomi,,ote,,ote,0,0,0,0,0,0,1,1
Konzo,,koo,,koo,0,0,0,0,0,0,1,1
Lule Sami,,smj,,smj,0,0,0,0,0,0,1,1
Tamasheq,,taq,taq_Tfng,taq,0,0,1,0,0,0,1,1
Moba,,mfq,,mfq,0,0,0,0,0,0,1,1
Nakanai,,nak,,nak,0,0,0,0,0,0,1,1
Makhuwa,,vmw,,vmw,0,0,0,0,0,0,1,1
Tabassaran,,tab,,tab,0,0,0,0,0,0,1,1
Nigerian Pidgin,,pcm,,pcm,0,0,0,0,0,0,1,1
Akeu,,aeu,,aeu,0,0,0,0,0,0,1,1
Central Puebla Nahuatl,,ncx,,ncx,0,0,0,0,0,0,1,1
Tulu,,tcy,,tcy,0,0,0,0,0,0,1,1
Dedua,,ded,,ded,0,0,0,0,0,0,1,1
Amis,,ami,,ami,0,0,0,0,0,0,1,1
Bauzi,,bvz,,bvz,0,0,0,0,0,0,1,1
Dogri (macrolanguage),,doi,,doi,0,0,0,0,0,0,1,1
Ndau,,ndc,,ndc,0,0,0,0,0,0,1,1
Sediq,,trv,,trv,0,0,0,0,0,0,1,1
San Jerónimo Tecóatl Mazatec,,maa,,maa,0,0,0,0,0,0,1,1
Assyrian Neo-Aramaic,,aii,,aii,0,0,0,0,0,0,1,1
Mazanderani,,mzn,,mzn,0,0,0,0,0,0,1,1
Lukpa,,dop,,dop,0,0,0,0,0,0,1,1
Maasina Fulfulde,,ffm,,ffm,0,0,0,0,0,0,1,1
Yaweyuha,,yby,,yby,0,0,0,0,0,0,1,1
Texmelucan Zapotec,,zpz,,zpz,0,0,0,0,0,0,1,1
Sidamo,,sid,,sid,0,0,0,0,0,0,1,1
Yongbei Zhuang,,zyb,,zyb,0,0,0,0,0,0,1,1
Nias,,nia,,nia,0,0,0,0,1,0,1,1
Urak Lawoi',,urk,,urk,0,0,0,0,0,0,1,1
Halia,,hla,,hla,0,0,0,0,0,0,1,1
Bambam,,ptu,,ptu,0,0,0,0,0,0,1,1
Karbi,,mjw,,mjw,0,0,0,0,0,0,1,1
Western Bukidnon Manobo,,mbb,,mbb,0,0,0,0,0,0,1,1
Guambiano,,gum,,gum,0,0,0,0,0,0,1,1
Naasioi,,nas,,nas,0,0,0,0,0,0,1,1
Abaza,,abq,,abq,0,0,0,0,0,0,1,1
Tojolabal,,toj,,toj,0,0,0,0,0,0,1,1
Kven Finnish,,fkv,,fkv,0,0,0,0,0,0,1,1
Yele,,yle,,yle,0,0,0,0,0,0,1,1
Anjam,,boj,,boj,0,0,0,0,0,0,1,1
Sio,,xsi,,xsi,0,0,0,0,0,0,1,1
Sulka,,sua,,sua,0,0,0,0,0,0,1,1
Kipsigis,,sgc,,sgc,0,0,0,0,0,0,1,1
Khakas,,kjh,,kjh,0,0,0,0,0,0,1,1
Kein,,bmh,,bmh,0,0,0,0,0,0,1,1
Northern Puebla Nahuatl,,ncj,,ncj,0,0,0,0,0,0,1,1
Angor,,agg,,agg,0,0,0,0,0,0,1,1
Marik,,dad,,dad,0,0,0,0,0,0,1,1
Nenets,,yrk,,yrk,0,0,0,0,0,0,1,1
Dano,,aso,,aso,0,0,0,0,0,0,1,1
Burarra,,bvr,,bvr,0,0,0,0,0,0,1,1
Dargwa,,dar,,dar,0,0,0,0,0,0,1,1
Djimini Senoufo,,dyi,,dyi,0,0,0,0,0,0,1,1
Ömie,,aom,,aom,0,0,0,0,0,0,1,1
Gumatj,,gnn,,gnn,0,0,0,0,0,0,1,1
Paama,,pma,,pma,0,0,0,0,0,0,1,1
Kâte,,kmg,,kmg,0,0,0,0,0,0,1,1
Qaqet,,byx,,byx,0,0,0,0,0,0,1,1
Church Slavic,,chu,,chu,0,0,0,0,0,0,1,1
Siane,,snp,,snp,0,0,0,0,0,0,1,1
Korafe-Yegha,,kpr,,kpr,0,0,0,0,0,0,1,1
Daga,,dgz,,dgz,0,0,0,0,0,0,1,1
Huaylas Ancash Quechua,,qwh,,qwh,0,0,0,0,0,0,1,1
Zande (individual language),,zne,,zne,0,0,0,0,0,0,1,1
Khumi Chin,,cnk,,cnk,0,0,0,0,0,0,1,1
Nigerian Fulfulde,,fuv,fuv_Latn,fuv,0,0,1,1,0,0,1,1
Nyindrou,,lid,,lid,0,0,0,0,0,0,1,1
Maskelynes,,klv,,klv,0,0,0,0,0,0,1,1
Yatee Zapotec,,zty,,zty,0,0,0,0,0,0,1,1
Yalálag Zapotec,,zpu,,zpu,0,0,0,0,0,0,1,1
Ruund,,rnd,,rnd,0,0,0,0,0,0,1,1
Bo-Ung,,mux,,mux,0,0,0,0,0,0,1,1
Komi-Permyak,,koi,,koi,0,0,0,0,0,0,1,1
Bunama,,bdd,,bdd,0,0,0,0,0,0,1,1
Konkomba,,xon,,xon,0,0,0,0,0,0,1,1
Mündü,,muh,,muh,0,0,0,0,0,0,1,1
Ao Naga,,njo,,njo,0,0,0,0,0,0,1,1
Pitjantjatjara,,pjt,,pjt,0,0,0,0,0,0,1,1
Tuwali Ifugao,,ifk,,ifk,0,0,0,0,0,0,1,1
Kenga,,kyq,,kyq,0,0,0,0,0,0,1,1
Dan,,dnj,,dnj,0,0,0,0,0,0,1,1
Iduna,,viv,,viv,0,0,0,0,0,0,1,1
Bariai,,bch,,bch,0,0,0,0,0,0,1,1
Girawa,,bbr,,bbr,0,0,0,0,0,0,1,1
Amele,,aey,,aey,0,0,0,0,0,0,1,1
Zia,,zia,,zia,0,0,0,0,0,0,1,1
Kasua,,khs,,khs,0,0,0,0,0,0,1,1
Kashmiri,,kas,kas_Deva,kas,0,0,1,0,0,0,1,1
Kyaka,,kyc,,kyc,0,0,0,0,0,0,1,1
Teribe,,tfr,,tfr,0,0,0,0,0,0,1,1
Saniyo-Hiyewe,,sny,,sny,0,0,0,0,0,0,1,1
Bedjond,,bjv,,bjv,0,0,0,0,0,0,1,1
Digo,,dig,,dig,0,0,0,0,0,0,1,1
Yombe,,yom,,yom,0,0,0,0,0,0,1,1
Central Mazahua,,maz,,maz,0,0,0,0,0,0,1,1
Mapos Buang,,bzh,,bzh,0,0,0,0,0,0,1,1
Yabem,,jae,,jae,0,0,0,0,0,0,1,1
Somba-Siawari,,bmu,,bmu,0,0,0,0,0,0,1,1
Arifama-Miniafia,,aai,,aai,0,0,0,0,0,0,1,1
Gokana,,gkn,,gkn,0,0,0,0,0,0,1,1
Southwestern Dinka,,dik,dik_Latn,dik,0,0,1,0,0,0,1,1
Chopi,,cce,,cce,0,0,0,0,0,0,1,1
Minangkabau,,min,min_Latn,min,0,0,1,0,1,0,1,1
Gwahatike,,dah,,dah,0,0,0,0,0,0,1,1
Western Kanjobal,,knj,,knj,0,0,0,0,0,0,1,1
Karkar-Yuri,,yuj,,yuj,0,0,0,0,0,0,1,1
Coatlán Mixe,,mco,,mco,0,0,0,0,0,0,1,1
Teso,,teo,,teo,0,0,0,0,0,0,1,1
Dawawa,,dww,,dww,0,0,0,0,0,0,1,1
Imbongu,,imo,,imo,0,0,0,0,0,0,1,1
Mün Chin,,mwq,,mwq,0,0,0,0,0,0,1,1
Malinaltepec Me'phaa,,tcf,,tcf,0,0,0,0,0,0,1,1
Madurese,,mad,,mad,0,0,0,0,1,0,1,1
Saint Lucian Creole French,,acf,,acf,0,0,0,0,0,0,1,1
Yalunka,,yal,,yal,0,0,0,0,0,0,1,1
Querétaro Otomi,,otq,,otq,0,0,0,0,0,0,1,1
Alur,,alz,,alz,0,0,0,0,0,0,1,1
Epena,,sja,,sja,0,0,0,0,0,0,1,1
Madak,,mmx,,mmx,0,0,0,0,0,0,1,1
Mende (Sierra Leone),,men,,men,0,0,0,0,0,0,1,1
Mofu-Gudur,,mif,,mif,0,0,0,0,0,0,1,1
Bine,,bon,,bon,0,0,0,0,0,0,1,1
Yongkom,,yon,,yon,0,0,0,0,0,0,1,1
Zulgo-Gemzek,,gnd,,gnd,0,0,0,0,0,0,1,1
Maranao,,mrw,,mrw,0,0,0,0,0,0,1,1
Chiquihuitlán Mazatec,,maq,,maq,0,0,0,0,0,0,1,1
Lahu,,lhu,,lhu,0,0,0,0,0,0,1,1
Lugbara,,lgg,,lgg,0,0,0,0,0,0,1,1
Takia,,tbc,,tbc,0,0,0,0,0,0,1,1
Kabiyè,,kbp,kbp_Latn,kbp,0,0,1,0,0,0,1,1
Barasana-Eduria,,bsn,,bsn,0,0,0,0,0,0,1,1
Mbuko,,mqb,,mqb,0,0,0,0,0,0,1,1
Ticuna,,tca,,tca,0,0,0,0,0,0,1,1
Lote,,uvl,,uvl,0,0,0,0,0,0,1,1
Guerrero Nahuatl,,ngu,,ngu,0,0,0,0,0,0,1,1
Ipili,,ipi,,ipi,0,0,0,0,0,0,1,1
Tachelhit,,shi,,shi,0,0,0,0,0,0,1,1
Gourmanchéma,,gux,,gux,0,0,0,0,0,0,1,1
Saposa,,sps,,sps,0,0,0,0,0,0,1,1
Jukun Takum,,jbu,,jbu,0,0,0,0,0,0,1,1
Iamalele,,yml,,yml,0,0,0,0,0,0,1,1
Adioukrou,,adj,,adj,0,0,0,0,0,0,1,1
Bugawac,,buk,,buk,0,0,0,0,0,0,1,1
Lachiguiri Zapotec,,zpa,,zpa,0,0,0,0,0,0,1,1
Asháninka,,cni,,cni,0,0,0,0,0,0,1,1
Binumarien,,bjr,,bjr,0,0,0,0,0,0,1,1
Magahi,,mag,mag_Deva,mag,0,0,1,0,0,0,1,1
Sakalava Malagasy,,skg,,skg,0,0,0,0,0,0,1,1
Central Sama,,sml,,sml,0,0,0,0,0,0,1,1
Mopán Maya,,mop,,mop,0,0,0,0,0,0,1,1
Inabaknon,,abx,,abx,0,0,0,0,0,0,1,1
Kobon,,kpw,,kpw,0,0,0,0,0,0,1,1
Wandala,,mfi,,mfi,0,0,0,0,0,0,1,1
Galela,,gbi,,gbi,0,0,0,0,0,0,1,1
Suena,,sue,,sue,0,0,0,0,0,0,1,1
Bargam,,mlp,,mlp,0,0,0,0,0,0,1,1
Yaouré,,yre,,yre,0,0,0,0,0,0,1,1
Kako,,kkj,,kkj,0,0,0,0,0,0,1,1
Aneme Wake,,aby,,aby,0,0,0,0,0,0,1,1
Kuot,,kto,,kto,0,0,0,0,0,0,1,1
Nopala Chatino,,cya,,cya,0,0,0,0,0,0,1,1
Huehuetla Tepehua,,tee,,tee,0,0,0,0,0,0,1,1
Ese,,mcq,,mcq,0,0,0,0,0,0,1,1
Koonzime,,ozm,,ozm,0,0,0,0,0,0,1,1
Tsimané,,cas,,cas,0,0,0,0,0,0,1,1
Mískito,,miq,,miq,0,0,0,0,0,0,1,1
Paasaal,,sig,,sig,0,0,0,0,0,0,1,1
Kayapó,,txu,,txu,0,0,0,0,0,0,1,1
Siyin Chin,,csy,,csy,0,0,0,0,0,0,1,1
Agutaynen,,agn,,agn,0,0,0,0,0,0,1,1
Gheg Albanian,,aln,,aln,0,0,0,0,0,0,1,1
Migabac,,mpp,,mpp,0,0,0,0,0,0,1,1
Noone,,nhu,,nhu,0,0,0,0,0,0,1,1
Kara (Papua New Guinea),,leu,,leu,0,0,0,0,0,0,1,1
Lyélé,,lee,,lee,0,0,0,0,0,0,1,1
Uma,,ppk,,ppk,0,0,0,0,0,0,1,1
Bolinao,,smk,,smk,0,0,0,0,0,0,1,1
Mende (Papua New Guinea),,sim,,sim,0,0,0,0,0,0,1,1
Ngaju,,nij,,nij,0,0,0,0,0,0,1,1
Carapana,,cbc,,cbc,0,0,0,0,0,0,1,1
Achuar-Shiwiar,,acu,,acu,0,0,0,0,0,0,1,1
Cavineña,,cav,,cav,0,0,0,0,0,0,1,1
Numanggang,,nop,,nop,0,0,0,0,0,0,1,1
Pontic,,pnt,,pnt,0,0,0,0,0,0,1,1
Southwest Tanna,,nwi,,nwi,0,0,0,0,0,0,1,1
Agarabi,,agd,,agd,0,0,0,0,0,0,1,1
Nii,,nii,,nii,0,0,0,0,0,0,1,1
North Tanna,,tnn,,tnn,0,0,0,0,0,0,1,1
Cameroon Mambila,,mcu,,mcu,0,0,0,0,0,0,1,1
Kaonde,,kqn,,kqn,0,0,0,0,0,0,1,1
