language,lang_code,country,number_of_speakers,corpus_size,corpus_metric_used,cluster_class,cluster_name,category,family,script_type
Kven Finnish,fkv,Unknown,1700,566620,words,0,Cluster 0,Indigenous,Uralic,Latin
Yele,yle,Unknown,9200,563876,words,0,Cluster 0,Indigenous,Yele-West New Britain,Latin
Anjam,boj,Unknown,3800,562623,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Sio,xsi,Unknown,10000,562406,words,0,Cluster 0,Indigenous,Austronesian,Latin
Sulka,sua,Unknown,6900,554680,words,0,Cluster 0,Indigenous,Language isolate,Latin
Kipsigis,sgc,Unknown,1910000,549562,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Khakas,kjh,Unknown,25010,549082,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Kein,bmh,Unknown,3600,545946,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Northern Puebla Nahuatl,ncj,Unknown,113000,545412,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Angor,agg,Unknown,3700,544054,words,0,Cluster 0,Indigenous,Senagi,Latin
Marik,dad,Unknown,8600,542949,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nenets,yrk,Unknown,24500,539595,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Dano,aso,Unknown,88000,538403,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Burarra,bvr,Unknown,1100,538292,words,0,Cluster 0,Indigenous,Australian,Latin
Dargwa,dar,Unknown,372610,537219,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Djimini Senoufo,dyi,Unknown,219000,535593,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Ömie,aom,Unknown,3200,530825,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Gumatj,gnn,Unknown,100,529222,words,0,Cluster 0,Indigenous,Australian,Latin
Paama,pma,Unknown,11000,528633,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kâte,kmg,Unknown,32300,527529,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Qaqet,byx,Unknown,19000,527109,words,0,Cluster 0,Indigenous,East New Britain,Latin
Church Slavic,chu,Unknown,9,525303,words,0,Cluster 0,Indigenous,Indo-European,Non-Latin
Siane,snp,Unknown,59000,524648,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Korafe-Yegha,kpr,Unknown,6900,524472,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Daga,dgz,Unknown,16000,524460,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Huaylas Ancash Quechua,qwh,Unknown,442000,522387,words,0,Cluster 0,Indigenous,Quechuan,Latin
Zande (individual language),zne,Unknown,3543500,522128,words,0,Cluster 0,Regional,Niger-Congo,Latin
Khumi Chin,cnk,Unknown,69500,519662,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Nigerian Fulfulde,fuv,Unknown,17985000,519521,words,0,Cluster 0,Major Regional,Niger-Congo,Non-Latin
Nyindrou,lid,Unknown,10000,519507,words,0,Cluster 0,Indigenous,Austronesian,Latin
Maskelynes,klv,Unknown,1900,518945,words,0,Cluster 0,Indigenous,Austronesian,Latin
Yatee Zapotec,zty,Unknown,6600,514633,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Yalálag Zapotec,zpu,Unknown,4600,513548,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Ruund,rnd,Unknown,625000,511908,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Bo-Ung,mux,Unknown,83000,510907,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Komi-Permyak,koi,Unknown,42500,510902,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Bunama,bdd,Unknown,11000,509489,words,0,Cluster 0,Indigenous,Austronesian,Latin
Konkomba,xon,Unknown,1265000,508821,words,0,Cluster 0,Regional,Niger-Congo,Latin
Mündü,muh,Unknown,30600,508390,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Ao Naga,njo,Unknown,266000,504645,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Pitjantjatjara,pjt,Unknown,3800,504511,words,0,Cluster 0,Indigenous,Australian,Latin
Tuwali Ifugao,ifk,Unknown,46000,500637,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kenga,kyq,Unknown,139000,499994,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Dan,dnj,Unknown,2230600,499546,words,0,Cluster 0,Regional,Niger-Congo,Latin
Iduna,viv,Unknown,19000,499084,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bariai,bch,Unknown,3400,498845,words,0,Cluster 0,Indigenous,Austronesian,Latin
Girawa,bbr,Unknown,14000,498204,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Amele,aey,Unknown,16000,497684,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Zia,zia,Unknown,9100,496908,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kasua,khs,Unknown,1800,495129,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kashmiri,kas,Unknown,8641500,494991,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Kyaka,kyc,Unknown,53000,493343,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Teribe,tfr,Unknown,6300,492746,words,0,Cluster 0,Indigenous,Chibchan,Latin
Saniyo-Hiyewe,sny,Unknown,2400,490602,words,0,Cluster 0,Indigenous,Sepik,Latin
Bedjond,bjv,Unknown,248000,489899,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Digo,dig,Unknown,769000,489780,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Yombe,yom,Unknown,1634000,487961,words,0,Cluster 0,Regional,Niger-Congo,Latin
Central Mazahua,maz,Unknown,99000,483248,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Mapos Buang,bzh,Unknown,22000,482986,words,0,Cluster 0,Indigenous,Austronesian,Latin
Yabem,jae,Unknown,7700,481285,words,0,Cluster 0,Indigenous,Austronesian,Latin
Somba-Siawari,bmu,Unknown,18000,479879,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Arifama-Miniafia,aai,Unknown,7100,477487,words,0,Cluster 0,Indigenous,Austronesian,Latin
Gokana,gkn,Unknown,197000,477457,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Southwestern Dinka,dik,Unknown,1306000,470597,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Chopi,cce,Unknown,1521000,468098,words,0,Cluster 0,Regional,Niger-Congo,Latin
Minangkabau,min,Unknown,7314000,467287,words,0,Cluster 0,Regional,Austronesian,Latin
Gwahatike,dah,Unknown,3000,466142,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Western Kanjobal,knj,Unknown,61000,463857,words,0,Cluster 0,Indigenous,Mayan,Latin
Karkar-Yuri,yuj,Unknown,3100,463295,words,0,Cluster 0,Indigenous,Pauwasi,Latin
Coatlán Mixe,mco,Unknown,9000,461132,words,0,Cluster 0,Indigenous,Mixe-Zoquean,Latin
Teso,teo,Unknown,4463300,460973,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Dawawa,dww,Unknown,6700,459929,words,0,Cluster 0,Indigenous,Austronesian,Latin
Imbongu,imo,Unknown,87000,457980,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Mün Chin,mwq,Unknown,18000,456235,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Malinaltepec Me'phaa,tcf,Unknown,147000,455978,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Madurese,mad,Unknown,8108000,451535,words,0,Cluster 0,Regional,Austronesian,Latin
Saint Lucian Creole French,acf,Unknown,368300,451438,words,0,Cluster 0,Indigenous,Creole,Latin
Yalunka,yal,Unknown,224000,450613,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Querétaro Otomi,otq,Unknown,52000,450214,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Alur,alz,Unknown,2911000,449134,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Epena,sja,Unknown,8600,445126,words,0,Cluster 0,Indigenous,Chocoan,Latin
Madak,mmx,Unknown,9300,444440,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mende (Sierra Leone),men,Unknown,2722400,444311,words,0,Cluster 0,Regional,Niger-Congo,Latin
Mofu-Gudur,mif,Unknown,128000,443979,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Bine,bon,Unknown,3200,436875,words,0,Cluster 0,Indigenous,Eastern Trans-Fly,Latin
Yongkom,yon,Unknown,9100,435707,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Zulgo-Gemzek,gnd,Unknown,61000,434426,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Maranao,mrw,Unknown,1474000,433202,words,0,Cluster 0,Regional,Austronesian,Latin
Chiquihuitlán Mazatec,maq,Unknown,2000,432958,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Lahu,lhu,Unknown,610600,431791,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Lugbara,lgg,Unknown,2243000,430440,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Takia,tbc,Unknown,73900,425680,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kabiyè,kbp,Unknown,1542000,423543,words,0,Cluster 0,Regional,Niger-Congo,Latin
Barasana-Eduria,bsn,Unknown,1100,421326,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Mbuko,mqb,Unknown,23000,419987,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Ticuna,tca,Unknown,64000,419194,words,0,Cluster 0,Indigenous,Language isolate,Latin
Lote,uvl,Unknown,10000,419176,words,0,Cluster 0,Indigenous,Austronesian,Latin
Guerrero Nahuatl,ngu,Unknown,233000,415976,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Ipili,ipi,Unknown,50000,415348,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tachelhit,shi,Unknown,4592000,414772,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
Gourmanchéma,gux,Unknown,1805000,412598,words,0,Cluster 0,Regional,Niger-Congo,Latin
Saposa,sps,Unknown,3100,412029,words,0,Cluster 0,Indigenous,Austronesian,Latin
Jukun Takum,jbu,Unknown,11260,409519,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Iamalele,yml,Unknown,8200,408039,words,0,Cluster 0,Indigenous,Austronesian,Latin
Adioukrou,adj,Unknown,204000,407979,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Bugawac,buk,Unknown,19000,407597,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lachiguiri Zapotec,zpa,Unknown,10000,406946,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Asháninka,cni,Unknown,43000,405931,words,0,Cluster 0,Indigenous,Maipurean,Latin
Binumarien,bjr,Unknown,1400,404935,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Magahi,mag,Unknown,20959200,404674,words,0,Cluster 0,Major Regional,Indo-European,Non-Latin
Sakalava Malagasy,skg,Unknown,2652900,402991,words,0,Cluster 0,Regional,Austronesian,Latin
Central Sama,sml,Unknown,162000,402786,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mopán Maya,mop,Unknown,17500,402374,words,0,Cluster 0,Indigenous,Mayan,Latin
Inabaknon,abx,Unknown,33000,402181,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kobon,kpw,Unknown,17000,400777,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Wandala,mfi,Unknown,100000,400514,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Galela,gbi,Unknown,125000,400429,words,0,Cluster 0,Indigenous,West Papuan,Latin
Suena,sue,Unknown,7300,398958,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Bargam,mlp,Unknown,7100,398562,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Yaouré,yre,Unknown,63000,398288,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kako,kkj,Unknown,224000,398229,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Aneme Wake,aby,Unknown,1700,394535,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kuot,kto,Unknown,4700,394491,words,0,Cluster 0,Indigenous,Language isolate,Latin
Nopala Chatino,cya,Unknown,12000,393376,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Huehuetla Tepehua,tee,Unknown,5600,392952,words,0,Cluster 0,Indigenous,Totonacan,Latin
Ese,mcq,Unknown,20000,392034,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Koonzime,ozm,Unknown,61500,391749,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tsimané,cas,Unknown,17000,391661,words,0,Cluster 0,Indigenous,Mosetenan,Latin
Mískito,miq,Unknown,252000,391569,words,0,Cluster 0,Indigenous,Misumalpan,Latin
Paasaal,sig,Unknown,64000,391348,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kayapó,txu,Unknown,10500,390890,words,0,Cluster 0,Indigenous,Jean,Latin
Siyin Chin,csy,Unknown,11000,390479,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Agutaynen,agn,Unknown,20000,390412,words,0,Cluster 0,Indigenous,Austronesian,Latin
Gheg Albanian,aln,Unknown,6240600,389656,words,0,Cluster 0,Regional,Indo-European,Latin
Migabac,mpp,Unknown,4200,389194,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Noone,nhu,Unknown,67000,388982,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kara (Papua New Guinea),leu,Unknown,12000,385999,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lyélé,lee,Unknown,344000,385634,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Uma,ppk,Unknown,32000,385618,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bolinao,smk,Unknown,138000,384534,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mende (Papua New Guinea),sim,Unknown,11000,383390,words,0,Cluster 0,Indigenous,Sepik,Latin
Ngaju,nij,Unknown,1205000,383189,words,0,Cluster 0,Regional,Austronesian,Latin
Carapana,cbc,Unknown,700,380993,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Achuar-Shiwiar,acu,Unknown,11800,380934,words,0,Cluster 0,Indigenous,Jivaroan,Latin
Cavineña,cav,Unknown,4000,380469,words,0,Cluster 0,Indigenous,Tacanan,Latin
Numanggang,nop,Unknown,4700,380438,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Pontic,pnt,Unknown,372200,380173,words,0,Cluster 0,Indigenous,Indo-European,Non-Latin
Southwest Tanna,nwi,Unknown,6200,379697,words,0,Cluster 0,Indigenous,Austronesian,Latin
Agarabi,agd,Unknown,55000,379539,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Nii,nii,Unknown,33000,379347,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
North Tanna,tnn,Unknown,8500,379077,words,0,Cluster 0,Indigenous,Austronesian,Latin
Cameroon Mambila,mcu,Unknown,73000,378433,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kaonde,kqn,Unknown,545000,378137,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Sinte Romani,rmo,Unknown,222900,377077,words,0,Cluster 0,Indigenous,Indo-European,Latin
Cacua,cbv,Unknown,200,376126,words,0,Cluster 0,Indigenous,Puinavean,Latin
Wipi,gdr,Unknown,3300,375683,words,0,Cluster 0,Indigenous,Eastern Trans-Fly,Latin
Merey,meq,Unknown,33000,373900,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Eastern Karaboro,xrb,Unknown,92000,373239,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Bissa,bib,Unknown,1206000,372618,words,0,Cluster 0,Regional,Niger-Congo,Latin
Natügu,ntu,Unknown,7100,372478,words,0,Cluster 0,Indigenous,Austronesian,Latin
Meyah,mej,Unknown,58000,372122,words,0,Cluster 0,Indigenous,East Bird’s Head-Sentani,Latin
Basa (Cameroon),bas,Unknown,501000,371749,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Macuna,myy,Unknown,2890,370441,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Iwal,kbm,Unknown,3300,369964,words,0,Cluster 0,Indigenous,Austronesian,Latin
Selepet,spl,Unknown,20000,369765,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Vaiphei,vap,Unknown,59600,369394,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Northern Grebo,gbo,Unknown,166000,369375,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kunimaipa,kup,Unknown,15000,368918,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Mangseng,mbh,Unknown,6200,368912,words,0,Cluster 0,Indigenous,Austronesian,Latin
Garrwa,wrk,Unknown,100,368317,words,0,Cluster 0,Indigenous,Australian,Latin
Kupang Malay,mkn,Unknown,284000,368204,words,0,Cluster 0,Indigenous,Creole,Latin
Mwaghavul,sur,Unknown,192000,368020,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Desano,des,Unknown,6100,367855,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Kuwaa,blh,Unknown,30000,366155,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Carrier,crx,Unknown,1800,365539,words,0,Cluster 0,Indigenous,Eyak-Athabaskan,Latin
Paicî,pri,Unknown,8700,365531,words,0,Cluster 0,Indigenous,Austronesian,Latin
Oksapmin,opm,Unknown,22000,365505,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Zaiwa,atb,Unknown,155000,364205,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Akha,ahk,Unknown,694100,362859,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Lamba,lam,Unknown,486000,362034,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kamwe,hig,Unknown,705000,361156,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Akoose,bss,Unknown,199000,360720,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Deg,mzw,Unknown,61700,360603,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Bafut,bfd,Unknown,151000,360337,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kimré,kqp,Unknown,48000,359149,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Sasak,sas,Unknown,3497000,358889,words,0,Cluster 0,Regional,Austronesian,Latin
Jamiltepec Mixtec,mxt,Unknown,13000,358144,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Minica Huitoto,hto,Unknown,2500,358052,words,0,Cluster 0,Indigenous,Witotoan,Latin
Eastern Bolivian Guaraní,gui,Unknown,170300,357983,words,0,Cluster 0,Indigenous,Tupian,Latin
Waskia,wsk,Unknown,34000,357700,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Ama (Papua New Guinea),amm,Unknown,1400,357350,words,0,Cluster 0,Indigenous,Arai (Left May),Latin
Nobonob,gaw,Unknown,9200,357350,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Southern Birifor,biv,Unknown,231900,356995,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Ajië,aji,Unknown,6900,356796,words,0,Cluster 0,Indigenous,Austronesian,Latin
Hanga Hundi,wos,Unknown,13000,355680,words,0,Cluster 0,Indigenous,Sepik,Latin
Gapapaiwa,pwg,Unknown,5300,354812,words,0,Cluster 0,Indigenous,Austronesian,Latin
Takuu,nho,Unknown,2100,354417,words,0,Cluster 0,Indigenous,Austronesian,Latin
Supyire Senoufo,spp,Unknown,754000,353249,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Peñoles Mixtec,mil,Unknown,7300,351421,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Itawit,itv,Unknown,257000,350714,words,0,Cluster 0,Indigenous,Austronesian,Latin
Delo,ntr,Unknown,30000,350171,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tucano,tuo,Unknown,11950,349572,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Santa Teresa Cora,cok,Unknown,5200,348652,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Odoodee,kkc,Unknown,1000,348119,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Southeast Ambrym,tvk,Unknown,6300,347887,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bawm Chin,bgr,Unknown,5400,347497,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Candoshi-Shapra,cbu,Unknown,3600,346577,words,0,Cluster 0,Indigenous,Language isolate,Latin
Lambayeque Quechua,quf,Unknown,27000,345273,words,0,Cluster 0,Indigenous,Quechuan,Latin
Angaataha,agm,Unknown,3300,345210,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Lowland Tarahumara,tac,Unknown,13000,344611,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Comaltepec Chinantec,cco,Unknown,3200,344500,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Iraqw,irk,Unknown,1030000,343849,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
Manam,mva,Unknown,15000,343530,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mangga Buang,mmo,Unknown,2300,343521,words,0,Cluster 0,Indigenous,Austronesian,Latin
Tungag,lcm,Unknown,35000,343345,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lampung Api,ljp,Unknown,1050000,341983,words,0,Cluster 0,Regional,Austronesian,Latin
Northern Dagara,dgi,Unknown,399000,340720,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tuma-Irumu,iou,Unknown,2200,340311,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kwanga,kwj,Unknown,25900,340009,words,0,Cluster 0,Indigenous,Sepik,Latin
Panao Huánuco Quechua,qxh,Unknown,64000,339499,words,0,Cluster 0,Indigenous,Quechuan,Latin
Nafaanra,nfr,Unknown,113600,338002,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kanasi,soq,Unknown,5400,337441,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Botolan Sambal,sbl,Unknown,51000,337048,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kosena,kze,Unknown,5900,335053,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tifal,tif,Unknown,6800,335038,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Borong,ksr,Unknown,4500,334160,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
West Kewa,kew,Unknown,92000,334097,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Gamo,gmv,Unknown,2128000,333663,words,0,Cluster 0,Regional,Afro-Asiatic,Non-Latin
Kamasau,kms,Unknown,1800,332187,words,0,Cluster 0,Indigenous,Torricelli,Latin
Mag-antsi Ayta,sgb,Unknown,15000,332049,words,0,Cluster 0,Indigenous,Austronesian,Latin
Olo,ong,Unknown,26000,331379,words,0,Cluster 0,Indigenous,Torricelli,Latin
Highland Oaxaca Chontal,chd,Unknown,2800,331248,words,0,Cluster 0,Indigenous,Tequistlatecan,Latin
Ozumacín Chinantec,chz,Unknown,4200,331167,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Paumarí,pad,Unknown,1600,331054,words,0,Cluster 0,Indigenous,Arauan,Latin
Termanu,twu,Unknown,40000,330967,words,0,Cluster 0,Indigenous,Austronesian,Latin
Highland Totonac,tos,Unknown,223000,330748,words,0,Cluster 0,Indigenous,Totonacan,Latin
Cashinahua,cbs,Unknown,9400,329998,words,0,Cluster 0,Indigenous,Panoan,Latin
Piratapuyo,pir,Unknown,2400,328742,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Gude,gde,Unknown,285000,327792,words,0,Cluster 0,Indigenous,Afro-Asiatic,Latin
Guajajára,gub,Unknown,23000,327568,words,0,Cluster 0,Indigenous,Tupian,Latin
Kuranko,knk,Unknown,594000,327419,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Ubir,ubr,Unknown,5500,327218,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mauwake,mhl,Unknown,4550,326179,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Dangaura Tharu,thl,Unknown,1700000,325067,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Auhelawa,kud,Unknown,3000,324924,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mengen,mee,Unknown,15000,324665,words,0,Cluster 0,Indigenous,Austronesian,Latin
Ramoaaina,rai,Unknown,21000,323871,words,0,Cluster 0,Indigenous,Austronesian,Latin
Tezoatlán Mixtec,mxb,Unknown,6400,323780,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Purepecha,tsz,Unknown,74900,323272,words,0,Cluster 0,Indigenous,Tarascan,Latin
Chiquitano,cax,Unknown,150800,322090,words,0,Cluster 0,Indigenous,Language isolate,Latin
Lelemi,lef,Unknown,96900,322009,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kandas,kqw,Unknown,1400,321045,words,0,Cluster 0,Indigenous,Austronesian,Latin
Waimaha,bao,Unknown,1120,320422,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Eastern Tamang,taj,Unknown,1271800,320103,words,0,Cluster 0,Regional,Sino-Tibetan,Non-Latin
Yau (Morobe Province),yuw,Unknown,4700,319357,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Vunjo,vun,Unknown,803000,318872,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Iyo,nca,Unknown,13000,318750,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Aguaruna,agr,Unknown,65000,318638,words,0,Cluster 0,Indigenous,Jivaroan,Latin
Balantak,blz,Unknown,39000,317682,words,0,Cluster 0,Indigenous,Austronesian,Latin
Yao,yao,Unknown,3862000,315214,words,0,Cluster 0,Regional,Niger-Congo,Latin
Maru,mhx,Unknown,177000,314882,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Gulay,gvl,Unknown,642000,314758,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Male (Ethiopia),mdy,Unknown,180000,314749,words,0,Cluster 0,Indigenous,Afro-Asiatic,Non-Latin
Isnag,isd,Unknown,49000,314506,words,0,Cluster 0,Indigenous,Austronesian,Latin
Luang,lex,Unknown,27000,313780,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bwanabwana,tte,Unknown,4100,313608,words,0,Cluster 0,Indigenous,Austronesian,Latin
Sabaot,spy,Unknown,324000,313280,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Golin,gvf,Unknown,180400,313129,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Urarina,ura,Unknown,3900,311611,words,0,Cluster 0,Indigenous,Language isolate,Latin
Mekeo,mek,Unknown,36000,311609,words,0,Cluster 0,Indigenous,Austronesian,Latin
Folopa,ppo,Unknown,9300,311060,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Napu,npy,Unknown,8800,310835,words,0,Cluster 0,Indigenous,Austronesian,Latin
Koronadal Blaan,bpr,Unknown,198000,310612,words,0,Cluster 0,Indigenous,Austronesian,Latin
Uri,uvh,Unknown,6900,309690,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Angguruk Yali,yli,Unknown,23000,309330,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Toro So Dogon,dts,Unknown,122000,309275,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
East Kewa,kjs,Unknown,92000,309064,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tabaru,tby,Unknown,23000,308759,words,0,Cluster 0,Indigenous,West Papuan,Latin
